PDB_ID,Resolution,Method,Ab_type,Deposit_date,H_chain_ID,L_chain_ID,Ag_chain_ID(s),Ag_type(s),Affinity_KD(nM),Kd_nM_parsed,pKd,affinity_is_limit,Affinity_method,Affinity_temp(K),PMID,DOI
6a0z,2.33,x-ray diffraction,FabH:FabL,2018-06-06,H,L,A,protein,53,53.0,7.275724130399211,False,SPR,N.A.,29925655,10.1128/JVI.00547-18
6a3w,2.0,x-ray diffraction,VH:VL,2018-06-17,A,B,C,protein,2.3,2.3,8.638272163982407,False,SPR,298,30355497,10.1016/j.celrep.2018.09.073
6a3w,2.0,x-ray diffraction,VH:VL,2018-06-17,D,E,C;F,protein;protein,2.3,2.3,8.638272163982407,False,SPR,298,30355497,10.1016/j.celrep.2018.09.073
6a3w,2.0,x-ray diffraction,VH:VL,2018-06-17,G,H,I,protein,2.3,2.3,8.638272163982407,False,SPR,298,30355497,10.1016/j.celrep.2018.09.073
6a3w,2.0,x-ray diffraction,VH:VL,2018-06-17,J,K,L,protein,2.3,2.3,8.638272163982407,False,SPR,298,30355497,10.1016/j.celrep.2018.09.073
6a67,2.33,x-ray diffraction,FabH:FabL,2018-06-26,H,L,A,protein,1.004,1.004,8.998266287190999,False,SPR,310,30154240,10.1074/jbc.RA118.004604
6a67,2.33,x-ray diffraction,FabH:FabL,2018-06-26,C,D,B,protein,1.004,1.004,8.998266287190999,False,SPR,310,30154240,10.1074/jbc.RA118.004604
6a78,2.1,x-ray diffraction,VH:VL,2018-07-02,I,M,A;B,protein;protein,239,239.0,6.621602099051862,False,ITC,N.A.,30595454,10.1016/j.str.2018.11.002
6a78,2.1,x-ray diffraction,VH:VL,2018-07-02,H,L,A;B,protein;protein,239,239.0,6.621602099051862,False,ITC,N.A.,30595454,10.1016/j.str.2018.11.002
6a79,2.31,x-ray diffraction,VH:VL,2018-07-02,H,L,A;B,protein;protein,8.2,8.2,8.086186147616283,False,ITC,N.A.,30595454,10.1016/j.str.2018.11.002
6a79,2.31,x-ray diffraction,VH:VL,2018-07-02,I,M,A;B,protein;protein,8.2,8.2,8.086186147616283,False,ITC,N.A.,30595454,10.1016/j.str.2018.11.002
6ddm,1.3,x-ray diffraction,FabH:FabL,2018-05-10,B,A,C,protein,0.42,0.42,9.3767507096021,False,ITC,298,30307368,10.1080/19420862.2018.1532767
6ddr,1.9,x-ray diffraction,FabH:FabL,2018-05-10,B,A,C,protein,0.94,0.94,9.0268721464003,False,ITC,298,30307368,10.1080/19420862.2018.1532767
6ddv,2.05,x-ray diffraction,FabH:FabL,2018-05-10,B,A,C,protein,5.78,5.78,8.23807216157947,False,ITC,298,30307368,10.1080/19420862.2018.1532767
6dkj,1.95,x-ray diffraction,FabH:FabL,2018-05-29,H,L,C,protein,0.061,0.061,10.214670164989233,False,kinetic exclusion assay,N.A.,30567927,10.1126/scitranslmed.aat3392
6dkj,1.95,x-ray diffraction,FabH:FabL,2018-05-29,A,B,D,protein,0.061,0.061,10.214670164989233,False,kinetic exclusion assay,N.A.,30567927,10.1126/scitranslmed.aat3392
6e62,2.7,x-ray diffraction,FabH:FabL,2018-07-23,B,C,A,protein,3.2,3.2,8.494850021680094,False,BLI,N.A.,30367064,10.1038/s41467-018-06742-9
6e62,2.7,x-ray diffraction,FabH:FabL,2018-07-23,H,L,P,protein,3.2,3.2,8.494850021680094,False,BLI,N.A.,30367064,10.1038/s41467-018-06742-9
6e63,2.6,x-ray diffraction,FabH:FabL,2018-07-23,H,L,P,protein,3.7,3.7,8.431798275933005,False,BLI,N.A.,30367064,10.1038/s41467-018-06742-9
6e63,2.6,x-ray diffraction,FabH:FabL,2018-07-23,B,C,A,protein,3.7,3.7,8.431798275933005,False,BLI,N.A.,30367064,10.1038/s41467-018-06742-9
6gjq,2.49,x-ray diffraction,VHH,2018-05-16,B,N.A.,A,protein,25,25.0,7.6020599913279625,False,ITC,293,31201318,10.1038/s41467-019-10714-y
6gjq,2.49,x-ray diffraction,VHH,2018-05-16,D,N.A.,C,protein,25,25.0,7.6020599913279625,False,ITC,293,31201318,10.1038/s41467-019-10714-y
6gjq,2.49,x-ray diffraction,VHH,2018-05-16,F,N.A.,E,protein,25,25.0,7.6020599913279625,False,ITC,293,31201318,10.1038/s41467-019-10714-y
6gjq,2.49,x-ray diffraction,VHH,2018-05-16,H,N.A.,G,protein,25,25.0,7.6020599913279625,False,ITC,293,31201318,10.1038/s41467-019-10714-y
6gjs,1.95,x-ray diffraction,VHH,2018-05-16,C,N.A.,A,protein,37.9,37.9,7.421360790031928,False,ITC,293,31201318,10.1038/s41467-019-10714-y
6gju,2.6,x-ray diffraction,VHH,2018-05-17,B,N.A.,A,protein,37.9,37.9,7.421360790031928,False,ITC,293,31201318,10.1038/s41467-019-10714-y
